filename,status,image
001.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1000.tif/full/full/0/default.jpg
002.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1001.tif/full/full/0/default.jpg
003.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1002.tif/full/full/0/default.jpg
004.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1003.tif/full/full/0/default.jpg
005.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1004.tif/full/full/0/default.jpg
006.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1005.tif/full/full/0/default.jpg
007.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1006.tif/full/full/0/default.jpg
008.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1007.tif/full/full/0/default.jpg
009.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1008.tif/full/full/0/default.jpg
010.txt,completed,https://dzkimgs.l.u-tokyo.ac.jp/iiifimgs/zuzoubu/02/1009.tif/full/full/0/default.jpg
