filename	status	image
001.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/1
002.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/2
003.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/3
004.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/4
005.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/5
006.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/6
007.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/7
008.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/8
009.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/9
010.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/10
011.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00011.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/11
012.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00012.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/12
013.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00013.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/13
014.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00014.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/14
015.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00015.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/15
016.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00016.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/16
017.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00017.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/17
018.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00018.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/18
019.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00019.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/19
020.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249328/v4/AJNM/AJNM-00016/AJNM-00016-00020.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249328/canvas/20
