filename	status	image
001.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/1
002.txt	initiated	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/2
003.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/3
004.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/4
005.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/5
006.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/6
007.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/7
008.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/8
009.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/9
010.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/10
011.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00011.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/11
012.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00012.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/12
013.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00013.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/13
014.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00014.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/14
015.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00015.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/15
016.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00016.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/16
017.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00017.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/17
018.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00018.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/18
019.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00019.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/19
020.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00020.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/20
021.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00021.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/21
022.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00022.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/22
023.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00023.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/23
024.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00024.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/24
025.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00025.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/25
026.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00026.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/26
027.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00027.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/27
028.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00028.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/28
029.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00029.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/29
030.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00030.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/30
031.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00031.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/31
032.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00032.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/32
033.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00033.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/33
034.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00034.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/34
035.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00035.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/35
036.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00036.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/36
037.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00037.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/37
038.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00038.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/38
039.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00039.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/39
040.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00040.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/40
041.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00041.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/41
042.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00042.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/42
043.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00043.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/43
044.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00044.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/44
045.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00045.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/45
046.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00046.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/46
047.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00047.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/47
048.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00048.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/48
049.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00049.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/49
050.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100249391/v4/AJNM/AJNM-00053/AJNM-00053-00050.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249391/canvas/50
