filename	status	image
001.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/1
002.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/2
003.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/3
004.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/4
005.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/5
006.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/6
007.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/7
008.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/8
009.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/9
010.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/10
011.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00011.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/11
012.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00012.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/12
013.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00013.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/13
014.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00014.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/14
015.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00015.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/15
016.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00016.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/16
017.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00017.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/17
018.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249759/v4/AJNM/AJNM-00245/AJNM-00245-00018.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100249759/canvas/18
