filename	status	image
001.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081370/3081370_0000001.jpx/full/full/0/default.jpg
002.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081371/3081371_0000002.jpx/full/full/0/default.jpg
003.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081372/3081372_0000003.jpx/full/full/0/default.jpg
004.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081373/3081373_0000004.jpx/full/full/0/default.jpg
005.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081374/3081374_0000005.jpx/full/full/0/default.jpg
006.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081375/3081375_0000006.jpx/full/full/0/default.jpg
007.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081376/3081376_0000007.jpx/full/full/0/default.jpg
008.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081377/3081377_0000008.jpx/full/full/0/default.jpg
009.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081378/3081378_0000009.jpx/full/full/0/default.jpg
010.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081379/3081379_0000010.jpx/full/full/0/default.jpg
011.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081380/3081380_0000011.jpx/full/full/0/default.jpg
012.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081381/3081381_0000012.jpx/full/full/0/default.jpg
013.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081382/3081382_0000013.jpx/full/full/0/default.jpg
014.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081383/3081383_0000014.jpx/full/full/0/default.jpg
015.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081384/3081384_0000015.jpx/full/full/0/default.jpg
016.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081385/3081385_0000016.jpx/full/full/0/default.jpg
017.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081386/3081386_0000017.jpx/full/full/0/default.jpg
018.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081387/3081387_0000018.jpx/full/full/0/default.jpg
019.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081388/3081388_0000019.jpx/full/full/0/default.jpg
020.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081389/3081389_0000020.jpx/full/full/0/default.jpg
021.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081390/3081390_0000021.jpx/full/full/0/default.jpg
022.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081391/3081391_0000022.jpx/full/full/0/default.jpg
023.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081392/3081392_0000023.jpx/full/full/0/default.jpg
024.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081393/3081393_0000024.jpx/full/full/0/default.jpg
025.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081394/3081394_0000025.jpx/full/full/0/default.jpg
026.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081395/3081395_0000026.jpx/full/full/0/default.jpg
027.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081396/3081396_0000027.jpx/full/full/0/default.jpg
028.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081397/3081397_0000028.jpx/full/full/0/default.jpg
029.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081398/3081398_0000029.jpx/full/full/0/default.jpg
030.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081399/3081399_0000030.jpx/full/full/0/default.jpg
031.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081400/3081400_0000031.jpx/full/full/0/default.jpg
032.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081401/3081401_0000032.jpx/full/full/0/default.jpg
033.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081402/3081402_0000033.jpx/full/full/0/default.jpg
034.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007121/3081403/3081403_0000034.jpx/full/full/0/default.jpg
