filename	status	image	canvasId
001.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048295/3048295_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page1
002.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048296/3048296_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page2
003.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048297/3048297_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page3
004.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048298/3048298_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page4
005.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048299/3048299_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page5
006.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048300/3048300_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page6
007.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048301/3048301_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page7
008.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048302/3048302_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page8
009.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048303/3048303_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page9
010.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048304/3048304_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page10
011.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048305/3048305_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page11
012.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007145/3048306/3048306_0000012.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007145-0/page12
