filename	status	image
001.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082411/3082411_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page1
002.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082412/3082412_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page2
003.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082413/3082413_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page3
004.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082414/3082414_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page4
005.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082415/3082415_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page5
006.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082416/3082416_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page6
007.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082417/3082417_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page7
008.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082418/3082418_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page8
009.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082419/3082419_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page9
010.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082420/3082420_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page10
011.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007140/3082421/3082421_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007140-0/page11
