filename	status	image
001.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080854/3080854_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page1
002.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080855/3080855_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page2
003.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080856/3080856_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page3
004.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080857/3080857_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page4
005.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080858/3080858_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page5
006.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080859/3080859_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page6
007.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080860/3080860_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page7
008.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080861/3080861_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page8
009.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080862/3080862_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page9
010.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080863/3080863_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page10
011.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080864/3080864_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page11
012.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080865/3080865_0000012.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page12
013.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080866/3080866_0000013.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page13
014.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080867/3080867_0000014.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page14
015.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080868/3080868_0000015.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page15
016.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080869/3080869_0000016.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page16
017.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080870/3080870_0000017.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page17
018.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080871/3080871_0000018.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page18
019.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080872/3080872_0000019.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page19
020.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007114/3080873/3080873_0000020.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007114/page20
