filename	status	image
001.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048426/3048426_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page1
002.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048427/3048427_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page2
003.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048428/3048428_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page3
004.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048429/3048429_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page4
005.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048430/3048430_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page5
006.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048431/3048431_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page6
007.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048432/3048432_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page7
008.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048433/3048433_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page8
009.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048434/3048434_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page9
010.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048435/3048435_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page10
011.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048436/3048436_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page11
012.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048437/3048437_0000012.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page12
013.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048438/3048438_0000013.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page13
014.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048439/3048439_0000014.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page14
015.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048440/3048440_0000015.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page15
016.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048441/3048441_0000016.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page16
017.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048442/3048442_0000017.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page17
018.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048443/3048443_0000018.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page18
019.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048444/3048444_0000019.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page19
020.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048445/3048445_0000020.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page20
021.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007147/3048446/3048446_0000021.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007147-0/page21
