filename	status	image	canvasId
001.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237403_2017081711120500285.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page1
002.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237404_2017081711120600317.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page2
003.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237405_2017081711120700272.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page3
004.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237406_2017081711120700881.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page4
005.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237407_2017081711120800487.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page5
006.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237408_2017081711120900116.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page6
007.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237409_2017081711120900912.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page7
008.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237410_2017081711121000767.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page8
009.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237411_2017081711121100472.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page9
010.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237412_2017081711121200200.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page10
011.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237413_2017081711121300307.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page11
012.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237414_2017081711121400013.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page12
013.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237415_2017081711121400733.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page13
014.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237416_2017081711121500441.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page14
015.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237417_2017081711121600241.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page15
016.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237418_2017081711121600875.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page16
017.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237419_2017081711121700640.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page17
018.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237420_2017081711121800363.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page18
019.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237421_2017081711121900194.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page19
020.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237422_2017081711122000168.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page20
021.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237423_2017081711122000944.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page21
022.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237424_2017081711122100673.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page22
023.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237425_2017081711122200737.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page23
024.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237426_2017081711122300608.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page24
025.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237427_2017081711122400352.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page25
026.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237428_2017081711122400980.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page26
027.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237429_2017081711122500736.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page27
028.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237430_2017081711122600550.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page28
029.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237431_2017081711122700308.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page29
030.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237432_2017081711122800026.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page30
031.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237433_2017081711122800747.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page31
032.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237434_2017081711122900520.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page32
033.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237435_2017081711123000221.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page33
034.txt	initiated	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/arch_img/03237001/3237436_2017081711123100028.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-1046491/page34
