filename,status,image
001.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007734_2014010100002900001.jpx/full/full/0/default.jpg
002.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007735_2014010100002900001.jpx/full/full/0/default.jpg
003.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007736_2014010100002900001.jpx/full/full/0/default.jpg
004.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007737_2014010100002900001.jpx/full/full/0/default.jpg
005.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007738_2014010100002900001.jpx/full/full/0/default.jpg
006.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007739_2014010100002900001.jpx/full/full/0/default.jpg
007.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007740_2014010100002900001.jpx/full/full/0/default.jpg
008.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007741_2014010100002900001.jpx/full/full/0/default.jpg
009.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007742_2014010100002900001.jpx/full/full/0/default.jpg
010.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007743_2014010100002900001.jpx/full/full/0/default.jpg
011.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007744_2014010100002900001.jpx/full/full/0/default.jpg
012.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007745_2014010100002900001.jpx/full/full/0/default.jpg
013.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007746_2014010100002900001.jpx/full/full/0/default.jpg
014.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007747_2014010100002900001.jpx/full/full/0/default.jpg
015.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007748_2014010100002900001.jpx/full/full/0/default.jpg
016.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007749_2014010100002900001.jpx/full/full/0/default.jpg
017.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007750_2014010100002900001.jpx/full/full/0/default.jpg
018.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007751_2014010100002900001.jpx/full/full/0/default.jpg
019.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007752_2014010100002900001.jpx/full/full/0/default.jpg
020.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007753_2014010100002900001.jpx/full/full/0/default.jpg
021.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007754_2014010100002900001.jpx/full/full/0/default.jpg
022.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007755_2014010100002900001.jpx/full/full/0/default.jpg
023.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007756_2014010100002900001.jpx/full/full/0/default.jpg
024.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007757_2014010100002900001.jpx/full/full/0/default.jpg
025.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007758_2014010100002900001.jpx/full/full/0/default.jpg
026.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007759_2014010100002900001.jpx/full/full/0/default.jpg
027.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007760_2014010100002900001.jpx/full/full/0/default.jpg
028.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007761_2014010100002900001.jpx/full/full/0/default.jpg
029.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007762_2014010100002900001.jpx/full/full/0/default.jpg
030.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007763_2014010100002900001.jpx/full/full/0/default.jpg
031.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007764_2014010100002900001.jpx/full/full/0/default.jpg
032.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007765_2014010100002900001.jpx/full/full/0/default.jpg
033.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007766_2014010100002900001.jpx/full/full/0/default.jpg
034.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007767_2014010100002900001.jpx/full/full/0/default.jpg
035.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007768_2014010100002900001.jpx/full/full/0/default.jpg
036.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007769_2014010100002900001.jpx/full/full/0/default.jpg
037.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007770_2014010100002900001.jpx/full/full/0/default.jpg
038.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007771_2014010100002900001.jpx/full/full/0/default.jpg
039.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007772_2014010100002900001.jpx/full/full/0/default.jpg
040.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007773_2014010100002900001.jpx/full/full/0/default.jpg
041.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007774_2014010100002900001.jpx/full/full/0/default.jpg
042.txt,completed,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007775_2014010100002900001.jpx/full/full/0/default.jpg
