filename	status	image
001.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048139/3048139_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page1
002.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048140/3048140_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page2
003.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048141/3048141_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page3
004.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048142/3048142_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page4
005.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048143/3048143_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page5
006.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048144/3048144_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page6
007.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048145/3048145_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page7
008.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048146/3048146_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page8
009.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048147/3048147_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page9
010.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048148/3048148_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page10
011.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048149/3048149_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page11
012.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048150/3048150_0000012.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page12
013.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048151/3048151_0000013.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page13
014.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048152/3048152_0000014.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page14
015.txt	default	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007143/3048153/3048153_0000015.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007143-0/page15
