filename	status	image	canvasId
001.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082116/3082116_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page1
002.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082117/3082117_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page2
003.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082118/3082118_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page3
004.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082119/3082119_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page4
005.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082120/3082120_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page5
006.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082121/3082121_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page6
007.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082122/3082122_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page7
008.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082123/3082123_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page8
009.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082124/3082124_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page9
010.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082125/3082125_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page10
011.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082126/3082126_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page11
012.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082127/3082127_0000012.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page12
013.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082128/3082128_0000013.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page13
014.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082129/3082129_0000014.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page14
015.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082130/3082130_0000015.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page15
016.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082131/3082131_0000016.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page16
017.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082132/3082132_0000017.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page17
018.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082133/3082133_0000018.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page18
019.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082134/3082134_0000019.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page19
020.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082135/3082135_0000020.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page20
021.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082136/3082136_0000021.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page21
022.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082137/3082137_0000022.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page22
023.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082138/3082138_0000023.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page23
024.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082139/3082139_0000024.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page24
025.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082140/3082140_0000025.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page25
026.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082141/3082141_0000026.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page26
027.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082142/3082142_0000027.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page27
028.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082143/3082143_0000028.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page28
029.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007135/3082144/3082144_0000029.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007135-0/page29
