filename	status	image	canvasId
001.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080963/3080963_0000001.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page1
002.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080964/3080964_0000002.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page2
003.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080965/3080965_0000003.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page3
004.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080966/3080966_0000004.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page4
005.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080967/3080967_0000005.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page5
006.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080968/3080968_0000006.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page6
007.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080969/3080969_0000007.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page7
008.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080970/3080970_0000008.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page8
009.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080971/3080971_0000009.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page9
010.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080972/3080972_0000010.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page10
011.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080973/3080973_0000011.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page11
012.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080974/3080974_0000012.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page12
013.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080975/3080975_0000013.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page13
014.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080976/3080976_0000014.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page14
015.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080977/3080977_0000015.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page15
016.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080978/3080978_0000016.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page16
017.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080979/3080979_0000017.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page17
018.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080980/3080980_0000018.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page18
019.txt	completed	https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2007115/3080981/3080981_0000019.jpx/full/full/0/default.jpg	https://honkoku.org/manifests/fukui/011-011-2007115/page19
