filename	status	image	canvasId
001.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00001_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805615
002.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00002_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805616
003.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00003_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805617
004.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00004_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805618
005.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00005_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805619
006.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00006_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805620
007.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00007_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805621
008.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00008_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805622
009.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00009_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805623
010.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00010_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805624
011.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00011_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805625
012.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00012_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/page805626
