filename	status	image
001.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00001_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912538
002.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00002_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912539
003.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00003_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912540
004.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00004_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912541
005.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00005_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912542
006.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00006_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912543
007.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00007_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912544
008.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00008_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912545
009.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00009_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912546
010.txt	default	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/RB00005088_00010_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005088/page912547
