filename	status	image
001.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/001.tif/full/full/0/default.jpg
002.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/002.tif/full/full/0/default.jpg
003.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/003.tif/full/full/0/default.jpg
004.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/004.tif/full/full/0/default.jpg
005.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/005.tif/full/full/0/default.jpg
006.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/006.tif/full/full/0/default.jpg
007.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/007.tif/full/full/0/default.jpg
008.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/008.tif/full/full/0/default.jpg
009.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/009.tif/full/full/0/default.jpg
010.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/010.tif/full/full/0/default.jpg
011.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/011.tif/full/full/0/default.jpg
012.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/012.tif/full/full/0/default.jpg
013.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/013.tif/full/full/0/default.jpg
014.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/014.tif/full/full/0/default.jpg
015.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/015.tif/full/full/0/default.jpg
016.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/016.tif/full/full/0/default.jpg
017.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/017.tif/full/full/0/default.jpg
018.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/018.tif/full/full/0/default.jpg
019.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/019.tif/full/full/0/default.jpg
020.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/020.tif/full/full/0/default.jpg
021.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/021.tif/full/full/0/default.jpg
022.txt	completed	https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/022.tif/full/full/0/default.jpg
