label,manifestUrl,projectId,size,progress,attribution,thumbnail
生徒病中入費及薬餌金等ノ件,https://uta.u-tokyo.ac.jp/uta/iiif/14367/manifest,epidemic,2,0,東京大学文書館 / The University of Tokyo Archives, JAPAN,https://uta.u-tokyo.ac.jp/uta/files/medium/d94da079888fb333f6ecd3f8eea55da55678bb65.jpg
時疫流行の節…,https://iiif.ll.chiba-u.jp/manifest/150/2534.json,epidemic,2,2,Chiba University,https://iiif.ll.chiba-u.jp/mmd/iiif/150/2534/3616.tiff/full/90,/0/default.jpg
疫病流行ニ付於般若寺御祈祷事,https://crch.dl.saga-u.ac.jp/nikki/manifests/manifest-35793.json,epidemic,231,209,This property is owned by <a href="http://www.lib.saga-u.ac.jp/">Saga University Library</a> <br>and is used for regionological research by <a href="http://www.chiikigaku.saga-u.ac.jp/">The Center for Regional Culture and History, Saga University, Japan. </a>,https://crch.dl.saga-u.ac.jp/iiif/horeki8/0003.tif/full/400,/0/default.jpg
暴瀉須知,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00000734/manifest.json,epidemic,17,17,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00000734/RB00000734_00001_0.ptif/full/400,/0/default.jpg
山内大串村亡伊兵衛娘三才ニ相成候処去年流行病気ニて両親兄弟共相果候孤ニ付八木五俵被相副同村善右衛門と申百姓へ養娘被仰付候事,https://crch.dl.saga-u.ac.jp/nikki/manifests/manifest-32964.json,epidemic,205,205,This property is owned by <a href="http://www.lib.saga-u.ac.jp/">Saga University Library</a> <br>and is used for regionological research by <a href="http://www.chiikigaku.saga-u.ac.jp/">The Center for Regional Culture and History, Saga University, Japan. </a>,https://crch.dl.saga-u.ac.jp/iiif/kansei5/0307.tif/full/400,/0/default.jpg
絵本黴瘡軍談 3巻,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00001298/manifest.json,epidemic,143,120,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001298/01/RB00001298_00001_0.ptif/full/400,/0/default.jpg
病中須佐美,https://kotenseki.nijl.ac.jp/biblio/200017606/manifest,epidemic,5,5,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200017606/v4/NIKI/096-0446/096-0446-00006.tif/full/400,/0/default.jpg
疱瘡心得草,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00005089/manifest.json,epidemic,27,27,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005089/RB00005089_00001_0.ptif/full/400,/0/default.jpg
引痘喩俗草,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00001247/manifest.json,epidemic,12,12,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001247/RB00001247_00001_0.ptif/full/400,/0/default.jpg
麻疹戯言,https://www.dl.ndl.go.jp/api/iiif/2539455/manifest.json,epidemic,24,24,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2539455/T0000001/full/full/0/default.jpg
