filename	status	image	canvasId
001.txt	initiated	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00001.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00001
002.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00002.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00002
003.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00003.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00003
004.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00004.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00004
005.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00005.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00005
006.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00006.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00006
007.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00007.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00007
008.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00008.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00008
009.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00009.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00009
010.txt	default	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2FEP20001364%2F00010.tif/full/full/0/default.jpg	https://d-archive.u-gakugei.ac.jp/iiif/2/EP20001364/page00010
