filename	status	image
001.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00000.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/1
002.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/2
003.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/3
004.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/4
005.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/5
006.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/6
007.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/7
008.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/8
009.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/9
010.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/10
011.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/11
012.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00011.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/12
013.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00012.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/13
014.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00013.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/14
015.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00014.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/15
016.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00015.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/16
017.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00016.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/17
018.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00017.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/18
019.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00018.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/19
020.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00019.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/20
021.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00020.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/21
022.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00021.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/22
023.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00022.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/23
024.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00023.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/24
025.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00024.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/25
026.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00025.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/26
027.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00026.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/27
028.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00027.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/28
029.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00028.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/29
030.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00029.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/30
031.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00030.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/31
032.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00031.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/32
033.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100346858/v4/TKGK/TKGK-00033/TKGK-00033-00032.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100346858/canvas/33
