filename	status	image
001.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00001.tif/full/full/0/default.jpg
002.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00002.tif/full/full/0/default.jpg
003.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00003.tif/full/full/0/default.jpg
004.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00004.tif/full/full/0/default.jpg
005.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00005.tif/full/full/0/default.jpg
006.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00006.tif/full/full/0/default.jpg
007.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00007.tif/full/full/0/default.jpg
008.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00008.tif/full/full/0/default.jpg
009.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00009.tif/full/full/0/default.jpg
010.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00010.tif/full/full/0/default.jpg
011.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00011.tif/full/full/0/default.jpg
012.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00012.tif/full/full/0/default.jpg
013.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00013.tif/full/full/0/default.jpg
014.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00014.tif/full/full/0/default.jpg
015.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00015.tif/full/full/0/default.jpg
016.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00016.tif/full/full/0/default.jpg
017.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00017.tif/full/full/0/default.jpg
018.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00018.tif/full/full/0/default.jpg
019.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00019.tif/full/full/0/default.jpg
020.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00020.tif/full/full/0/default.jpg
021.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00021.tif/full/full/0/default.jpg
022.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00022.tif/full/full/0/default.jpg
023.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00023.tif/full/full/0/default.jpg
024.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00024.tif/full/full/0/default.jpg
025.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00025.tif/full/full/0/default.jpg
026.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00026.tif/full/full/0/default.jpg
027.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00027.tif/full/full/0/default.jpg
028.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00028.tif/full/full/0/default.jpg
029.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00029.tif/full/full/0/default.jpg
030.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00030.tif/full/full/0/default.jpg
031.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00031.tif/full/full/0/default.jpg
032.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00032.tif/full/full/0/default.jpg
033.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00033.tif/full/full/0/default.jpg
034.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00034.tif/full/full/0/default.jpg
035.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00035.tif/full/full/0/default.jpg
036.txt	completed	https://d-archive.u-gakugei.ac.jp/iiif/2/library%2F10814136%2F00036.tif/full/full/0/default.jpg
