filename	status	image	canvasId
001.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00001.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p1
002.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00002.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p2
003.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00003.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p3
004.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00004.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p4
005.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00005.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p5
006.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00006.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p6
007.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00007.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p7
008.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00008.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p8
009.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00009.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p9
010.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00010.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p10
011.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00011.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p11
012.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00012.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p12
013.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00013.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p13
014.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00014.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p14
015.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00015.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p15
016.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00016.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p16
017.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00017.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p17
018.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00018.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p18
019.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00019.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p19
020.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00020.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p20
021.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00021.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p21
022.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00022.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p22
023.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00023.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p23
024.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00024.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p24
025.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00025.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p25
026.txt	initiated	https://image.kukozisin.org/iiif/2/GD__EP20001753__00026.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p26
027.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00027.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p27
028.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00028.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p28
029.txt	completed	https://image.kukozisin.org/iiif/2/GD__EP20001753__00029.tif/full/full/0/default.jpg	https://www.dheq.org/repo/iiif/2/3629/canvas/p29
