filename	status	image
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f1/full/full/0/default.jpg
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f2/full/full/0/default.jpg
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f3/full/full/0/default.jpg
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f4/full/full/0/default.jpg
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f5/full/full/0/default.jpg
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f6/full/full/0/default.jpg
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f7/full/full/0/default.jpg
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f8/full/full/0/default.jpg
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f9/full/full/0/default.jpg
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f10/full/full/0/default.jpg
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f11/full/full/0/default.jpg
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f12/full/full/0/default.jpg
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f13/full/full/0/default.jpg
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f14/full/full/0/default.jpg
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f15/full/full/0/default.jpg
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f16/full/full/0/default.jpg
017.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f17/full/full/0/default.jpg
018.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f18/full/full/0/default.jpg
019.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f19/full/full/0/default.jpg
020.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f20/full/full/0/default.jpg
021.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f21/full/full/0/default.jpg
022.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510999h/f22/full/full/0/default.jpg
