filename	status	image
001.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f1
002.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f2
003.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f3
004.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f4
005.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f5
006.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f6
007.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f7
008.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f8
009.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f9
010.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f10
011.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f11
012.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f12
013.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f13
014.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f14
015.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f15
016.txt	completed	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148216/canvas/f16
