filename	status	image
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f14
015.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f15/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f15
016.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/f16/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515398h/canvas/f16
