filename	status	image
001.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f1/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f1
002.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f2/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f2
003.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f3/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f3
004.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f4/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f4
005.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f5/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f5
006.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f6/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f6
007.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f7/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f7
008.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f8/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f8
009.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f9/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f9
010.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f10/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f10
011.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f11/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f11
012.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f12/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f12
013.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f13/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f13
014.txt	default	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/f14/full/full/0/default.jpg	https://gallica.bnf.fr/iiif/ark:/12148/btv1b10512768r/canvas/f14
