filename,status,image
001.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f1/full/full/0/default.jpg
002.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f2/full/full/0/default.jpg
003.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f3/full/full/0/default.jpg
004.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f4/full/full/0/default.jpg
005.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f5/full/full/0/default.jpg
006.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f6/full/full/0/default.jpg
007.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f7/full/full/0/default.jpg
008.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f8/full/full/0/default.jpg
009.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f9/full/full/0/default.jpg
010.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f10/full/full/0/default.jpg
011.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f11/full/full/0/default.jpg
012.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f12/full/full/0/default.jpg
013.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f13/full/full/0/default.jpg
014.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f14/full/full/0/default.jpg
015.txt,default,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f15/full/full/0/default.jpg
016.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f16/full/full/0/default.jpg
017.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f17/full/full/0/default.jpg
018.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f18/full/full/0/default.jpg
019.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f19/full/full/0/default.jpg
020.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f20/full/full/0/default.jpg
021.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f21/full/full/0/default.jpg
022.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f22/full/full/0/default.jpg
023.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f23/full/full/0/default.jpg
024.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f24/full/full/0/default.jpg
025.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f25/full/full/0/default.jpg
026.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f26/full/full/0/default.jpg
027.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f27/full/full/0/default.jpg
028.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f28/full/full/0/default.jpg
029.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f29/full/full/0/default.jpg
030.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f30/full/full/0/default.jpg
031.txt,completed,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f31/full/full/0/default.jpg
032.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f32/full/full/0/default.jpg
033.txt,initiated,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510449j/f33/full/full/0/default.jpg
