filename	status	image	canvasId
001.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00001_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832939
002.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00002_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832940
003.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00003_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832941
004.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00004_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832942
005.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00005_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832943
006.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00006_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832944
007.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00007_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832945
008.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00008_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832946
009.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00009_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832947
010.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00010_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832948
011.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00011_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832949
012.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00012_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832950
013.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00013_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832951
014.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00014_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832952
015.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/RB00001970_00015_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001970/page832953
