filename,status,image
001.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00001_0.ptif/full/full/0/default.jpg
002.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00002_0.ptif/full/full/0/default.jpg
003.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00003_0.ptif/full/full/0/default.jpg
004.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00004_0.ptif/full/full/0/default.jpg
005.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00005_0.ptif/full/full/0/default.jpg
006.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00006_0.ptif/full/full/0/default.jpg
007.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00007_0.ptif/full/full/0/default.jpg
008.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00008_0.ptif/full/full/0/default.jpg
009.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00009_0.ptif/full/full/0/default.jpg
010.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00010_0.ptif/full/full/0/default.jpg
011.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00011_0.ptif/full/full/0/default.jpg
012.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00012_0.ptif/full/full/0/default.jpg
013.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00013_0.ptif/full/full/0/default.jpg
014.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00014_0.ptif/full/full/0/default.jpg
015.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00015_0.ptif/full/full/0/default.jpg
016.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00016_0.ptif/full/full/0/default.jpg
017.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00017_0.ptif/full/full/0/default.jpg
018.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00018_0.ptif/full/full/0/default.jpg
019.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00019_0.ptif/full/full/0/default.jpg
020.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00020_0.ptif/full/full/0/default.jpg
021.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00021_0.ptif/full/full/0/default.jpg
022.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00022_0.ptif/full/full/0/default.jpg
023.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00023_0.ptif/full/full/0/default.jpg
024.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00024_0.ptif/full/full/0/default.jpg
025.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00025_0.ptif/full/full/0/default.jpg
026.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00026_0.ptif/full/full/0/default.jpg
027.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00027_0.ptif/full/full/0/default.jpg
028.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00028_0.ptif/full/full/0/default.jpg
029.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00029_0.ptif/full/full/0/default.jpg
030.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00030_0.ptif/full/full/0/default.jpg
031.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00031_0.ptif/full/full/0/default.jpg
032.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00032_0.ptif/full/full/0/default.jpg
033.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019887/01/RB00019887_00033_0.ptif/full/full/0/default.jpg
