filename	status	image
001.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00001_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832713
002.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00002_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832714
003.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00003_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832715
004.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00004_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832716
005.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00005_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832717
006.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00006_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832718
007.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00007_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832719
008.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00008_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832720
009.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00009_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832721
010.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00010_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832722
011.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00011_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832723
012.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00012_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832724
013.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00013_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832725
014.txt	completed	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/RB00001965_00014_0.ptif/full/full/0/default.jpg	https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00001965/page832726
