filename,status,image
001.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00001_0.ptif/full/full/0/default.jpg
002.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00002_0.ptif/full/full/0/default.jpg
003.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00003_0.ptif/full/full/0/default.jpg
004.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00004_0.ptif/full/full/0/default.jpg
005.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00005_0.ptif/full/full/0/default.jpg
006.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00006_0.ptif/full/full/0/default.jpg
007.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00007_0.ptif/full/full/0/default.jpg
008.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00008_0.ptif/full/full/0/default.jpg
009.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00009_0.ptif/full/full/0/default.jpg
010.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00010_0.ptif/full/full/0/default.jpg
011.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00011_0.ptif/full/full/0/default.jpg
012.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00012_0.ptif/full/full/0/default.jpg
013.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00013_0.ptif/full/full/0/default.jpg
014.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00014_0.ptif/full/full/0/default.jpg
015.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00015_0.ptif/full/full/0/default.jpg
016.txt,completed,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00016_0.ptif/full/full/0/default.jpg
017.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00017_0.ptif/full/full/0/default.jpg
018.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00018_0.ptif/full/full/0/default.jpg
019.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00019_0.ptif/full/full/0/default.jpg
020.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00020_0.ptif/full/full/0/default.jpg
021.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00021_0.ptif/full/full/0/default.jpg
022.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00022_0.ptif/full/full/0/default.jpg
023.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00023_0.ptif/full/full/0/default.jpg
024.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00024_0.ptif/full/full/0/default.jpg
025.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00025_0.ptif/full/full/0/default.jpg
026.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00026_0.ptif/full/full/0/default.jpg
027.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00027_0.ptif/full/full/0/default.jpg
028.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00028_0.ptif/full/full/0/default.jpg
029.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00029_0.ptif/full/full/0/default.jpg
030.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00030_0.ptif/full/full/0/default.jpg
031.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00031_0.ptif/full/full/0/default.jpg
032.txt,initiated,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00032_0.ptif/full/full/0/default.jpg
033.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00033_0.ptif/full/full/0/default.jpg
034.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00034_0.ptif/full/full/0/default.jpg
035.txt,default,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00019990/01/RB00019990_00035_0.ptif/full/full/0/default.jpg
