filename,status,image
001.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-001.tif/full/full/0/default.jpg
002.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-002.tif/full/full/0/default.jpg
003.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-003.tif/full/full/0/default.jpg
004.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-004.tif/full/full/0/default.jpg
005.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-005.tif/full/full/0/default.jpg
006.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-006.tif/full/full/0/default.jpg
007.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-007.tif/full/full/0/default.jpg
008.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-008.tif/full/full/0/default.jpg
009.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-009.tif/full/full/0/default.jpg
010.txt,completed,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-010.tif/full/full/0/default.jpg
