filename,status,image
001.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0001.tif/full/full/0/default.jpg
002.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0002.tif/full/full/0/default.jpg
003.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0003.tif/full/full/0/default.jpg
004.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0004.tif/full/full/0/default.jpg
005.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0005.tif/full/full/0/default.jpg
006.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0006.tif/full/full/0/default.jpg
007.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0007.tif/full/full/0/default.jpg
008.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0008.tif/full/full/0/default.jpg
009.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0009.tif/full/full/0/default.jpg
010.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0010.tif/full/full/0/default.jpg
011.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0011.tif/full/full/0/default.jpg
012.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0012.tif/full/full/0/default.jpg
013.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0013.tif/full/full/0/default.jpg
014.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0014.tif/full/full/0/default.jpg
015.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0015.tif/full/full/0/default.jpg
016.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0016.tif/full/full/0/default.jpg
017.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0017.tif/full/full/0/default.jpg
018.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0018.tif/full/full/0/default.jpg
019.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0019.tif/full/full/0/default.jpg
020.txt,completed,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0020.tif/full/full/0/default.jpg
021.txt,default,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0021.tif/full/full/0/default.jpg
022.txt,default,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0022.tif/full/full/0/default.jpg
023.txt,default,https://www.iiif.ku-orcas.kansai-u.ac.jp/iiif/2/208083146%2F0023.tif/full/full/0/default.jpg
