filename	status	image
001.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000001/full/full/0/default.jpg
002.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000002/full/full/0/default.jpg
003.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000003/full/full/0/default.jpg
004.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000004/full/full/0/default.jpg
005.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000005/full/full/0/default.jpg
006.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000006/full/full/0/default.jpg
007.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000007/full/full/0/default.jpg
008.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000008/full/full/0/default.jpg
009.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000009/full/full/0/default.jpg
010.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000010/full/full/0/default.jpg
011.txt	completed	https://www.dl.ndl.go.jp/api/iiif/1288347/R0000011/full/full/0/default.jpg
