filename	status	image	canvasId
001.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580001.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p1
002.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580002.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p2
003.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580003.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p3
004.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580004.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p4
005.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580005.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p5
006.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580006.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p6
007.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580007.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p7
008.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580008.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p8
009.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580009.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p9
010.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580010.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p10
011.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580011.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p11
012.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580012.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p12
013.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580013.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p13
014.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580014.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p14
015.txt	completed	https://iiif.dl.itc.u-tokyo.ac.jp/iiif/katei/0658/06580015.tif/full/full/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac3a2a27-6da9-4c6f-a8fa-c501ebaff7d0/canvas/p15
