filename	status	image	canvasId
001.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0010
002.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0020
003.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0030
004.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0040
005.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0050
006.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0060
007.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0070
008.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0080
009.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0090
010.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0100
011.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0110
012.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0120
013.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_013.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0130
014.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_014.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0140
015.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_015.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0150
016.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_016.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0160
017.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_017.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0170
018.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_018.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0180
019.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_019.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0190
020.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW468a%2FHW468a_020.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW4681/pageHW468a0200
