filename	status	image	canvasId
001.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0010
002.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0020
003.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0030
004.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0040
005.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0050
006.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0060
007.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0070
008.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0080
009.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0090
010.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0100
011.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0110
012.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0120
013.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_013.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0130
014.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_014.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0140
015.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_015.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0150
016.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_016.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0160
017.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_017.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0170
018.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_018.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0180
019.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_019.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0190
020.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_020.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0200
021.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_021.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0210
022.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_022.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0220
023.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_023.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0230
024.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_024.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0240
025.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_025.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0250
026.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_026.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0260
027.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_027.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0270
028.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_028.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0280
029.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_029.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0290
030.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_030.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0300
031.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW484(3)%2FHW484(3)_031.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW48403/pageHW484(3)0310
