filename	status	image
001.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010010
002.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010020
003.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010030
004.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010040
005.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010050
006.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010060
007.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010070
008.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010080
009.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010090
010.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010100
011.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010110
012.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA017_01%2FNA017_01_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA01701/pageNA017010120
