filename	status	image
001.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420010
002.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420020
003.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420030
004.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420040
005.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420050
006.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420060
007.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420070
008.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420080
009.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420090
010.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420100
011.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442%2FHW442_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW442/pageHW4420110
