filename,status,image
001.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_001.tif/full/full/0/default.jpg
002.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_002.tif/full/full/0/default.jpg
003.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_003.tif/full/full/0/default.jpg
004.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_004.tif/full/full/0/default.jpg
005.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_005.tif/full/full/0/default.jpg
006.txt,initiated,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_006.tif/full/full/0/default.jpg
007.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_007.tif/full/full/0/default.jpg
008.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_008.tif/full/full/0/default.jpg
009.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_009.tif/full/full/0/default.jpg
010.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_010.tif/full/full/0/default.jpg
011.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_011.tif/full/full/0/default.jpg
012.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_012.tif/full/full/0/default.jpg
013.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_013.tif/full/full/0/default.jpg
014.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_014.tif/full/full/0/default.jpg
015.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_015.tif/full/full/0/default.jpg
016.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_016.tif/full/full/0/default.jpg
017.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_017.tif/full/full/0/default.jpg
018.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_018.tif/full/full/0/default.jpg
019.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_019.tif/full/full/0/default.jpg
020.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_020.tif/full/full/0/default.jpg
021.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_021.tif/full/full/0/default.jpg
022.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_022.tif/full/full/0/default.jpg
023.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_023.tif/full/full/0/default.jpg
024.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_024.tif/full/full/0/default.jpg
025.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_025.tif/full/full/0/default.jpg
026.txt,default,https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA018_01%2FNA018_01_026.tif/full/full/0/default.jpg
