filename	status	image
001.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010010
002.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010020
003.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010030
004.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010040
005.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010050
006.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010060
007.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010070
008.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010080
009.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010090
010.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010100
011.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010110
012.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010120
013.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_013.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010130
014.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_014.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010140
015.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_015.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010150
016.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_016.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010160
017.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_017.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010170
018.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_018.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010180
019.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_019.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010190
020.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_020.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010200
021.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_021.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010210
022.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_022.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010220
023.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_023.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010230
024.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_024.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010240
025.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_025.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010250
026.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_026.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010260
027.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_027.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010270
028.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_028.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010280
029.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_029.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010290
030.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_030.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010300
031.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_031.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010310
032.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_032.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010320
033.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_033.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010330
034.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_034.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010340
035.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA109_01%2FNA109_01_035.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/NA10901/pageNA109010350
