filename	status	image
001.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_001.tif/full/full/0/default.jpg
002.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_002.tif/full/full/0/default.jpg
003.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_003.tif/full/full/0/default.jpg
004.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_004.tif/full/full/0/default.jpg
005.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_005.tif/full/full/0/default.jpg
006.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_006.tif/full/full/0/default.jpg
007.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_007.tif/full/full/0/default.jpg
008.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_008.tif/full/full/0/default.jpg
009.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_009.tif/full/full/0/default.jpg
010.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_010.tif/full/full/0/default.jpg
011.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_011.tif/full/full/0/default.jpg
012.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_012.tif/full/full/0/default.jpg
013.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_013.tif/full/full/0/default.jpg
014.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_014.tif/full/full/0/default.jpg
015.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_015.tif/full/full/0/default.jpg
016.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_016.tif/full/full/0/default.jpg
017.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_017.tif/full/full/0/default.jpg
018.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_018.tif/full/full/0/default.jpg
019.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_019.tif/full/full/0/default.jpg
020.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_020.tif/full/full/0/default.jpg
021.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_021.tif/full/full/0/default.jpg
022.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_022.tif/full/full/0/default.jpg
023.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_023.tif/full/full/0/default.jpg
024.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_024.tif/full/full/0/default.jpg
025.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_025.tif/full/full/0/default.jpg
026.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_026.tif/full/full/0/default.jpg
027.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_027.tif/full/full/0/default.jpg
028.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_028.tif/full/full/0/default.jpg
029.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_029.tif/full/full/0/default.jpg
030.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_030.tif/full/full/0/default.jpg
031.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_031.tif/full/full/0/default.jpg
032.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_032.tif/full/full/0/default.jpg
033.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_033.tif/full/full/0/default.jpg
034.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_034.tif/full/full/0/default.jpg
035.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_035.tif/full/full/0/default.jpg
036.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_036.tif/full/full/0/default.jpg
037.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_037.tif/full/full/0/default.jpg
038.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_038.tif/full/full/0/default.jpg
039.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_039.tif/full/full/0/default.jpg
040.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_040.tif/full/full/0/default.jpg
041.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_041.tif/full/full/0/default.jpg
042.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_042.tif/full/full/0/default.jpg
043.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_043.tif/full/full/0/default.jpg
044.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_044.tif/full/full/0/default.jpg
045.txt	default	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_045.tif/full/full/0/default.jpg
046.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW518%2FHW518_046.tif/full/full/0/default.jpg
