filename	status	image
001.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580010
002.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580020
003.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580030
004.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580040
005.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580050
006.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580060
007.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580070
008.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580080
009.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580090
010.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580100
011.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580110
012.txt	completed	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458%2FHW458_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW458/pageHW4580120
