filename	status	image
001.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_001.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20010
002.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_002.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20020
003.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_003.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20030
004.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_004.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20040
005.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_005.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20050
006.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_006.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20060
007.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_007.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20070
008.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_008.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20080
009.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_009.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20090
010.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_010.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20100
011.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_011.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20110
012.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_012.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20120
013.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_013.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20130
014.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_014.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20140
015.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_015.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20150
016.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_016.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20160
017.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_017.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20170
018.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_018.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20180
019.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_019.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20190
020.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_020.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20200
021.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_021.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20210
022.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_022.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20220
023.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_023.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20230
024.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_024.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20240
025.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_025.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20250
026.txt	initiated	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW470c-2%2FHW470c-2_026.tif/full/full/0/default.jpg	https://shimuchi.lib.u-ryukyu.ac.jp/iiif/2/HW47032/pageHW470c-20260
