filename	status	image
001.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-01.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page1
002.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-02.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page2
003.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-03.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page3
004.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-04.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page4
005.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-05.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page5
006.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-06.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page6
007.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-07.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page7
008.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-08.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page8
009.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-09.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page9
010.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-10.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page10
011.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-11.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page11
012.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-12.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page12
013.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-13.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page13
014.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-14.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page14
015.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-15.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page15
016.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-16.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page16
017.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-17.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page17
018.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-18.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page18
019.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-19.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page19
020.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550015-20.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550015/page20
