filename	status	image	canvasId
001.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-001.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page1
002.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-002.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page2
003.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-003.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page3
004.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-004.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page4
005.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-005.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page5
006.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-006.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page6
007.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-007.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page7
008.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-008.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page8
009.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-009.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page9
010.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-010.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page10
011.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-011.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page11
012.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-012.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page12
013.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-013.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page13
014.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-014.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page14
015.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-015.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page15
016.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-016.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page16
017.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-017.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page17
018.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-018.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page18
019.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-019.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page19
020.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-020.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page20
021.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-021.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page21
022.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-022.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page22
023.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-023.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page23
024.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-024.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page24
025.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-025.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page25
026.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-026.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page26
027.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-027.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page27
028.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-028.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page28
029.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-029.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page29
030.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2550093-030.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2550093/page30
