filename	status	image	canvasId
001.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-001.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page1
002.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-002.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page2
003.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-003.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page3
004.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-004.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page4
005.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-005.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page5
006.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-006.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page6
007.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-007.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page7
008.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-008.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page8
009.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-009.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page9
010.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-010.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page10
011.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-011.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page11
012.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-012.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page12
013.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-013.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page13
014.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-014.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page14
015.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-015.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page15
016.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-016.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page16
017.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-017.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page17
018.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-018.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page18
019.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-019.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page19
020.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-020.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page20
021.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-021.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page21
022.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-022.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page22
023.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-023.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page23
024.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-024.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page24
025.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-025.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page25
026.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-026.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page26
027.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-027.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page27
028.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-028.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page28
029.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-029.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page29
030.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-030.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page30
031.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-031.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page31
032.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-032.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page32
033.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-033.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page33
034.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-034.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page34
035.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-035.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page35
036.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-036.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page36
037.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-037.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page37
038.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-038.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page38
039.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-039.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page39
040.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-040.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page40
041.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-041.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page41
042.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-042.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page42
043.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-043.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page43
044.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-044.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page44
045.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-045.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page45
046.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-046.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page46
047.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-047.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page47
048.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-048.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page48
049.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549978-049.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549978/page49
