filename	status	image	canvasId
001.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-001.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page1
002.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-002.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page2
003.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-003.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page3
004.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-004.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page4
005.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-005.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page5
006.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-006.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page6
007.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-007.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page7
008.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-008.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page8
009.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-009.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page9
010.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-010.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page10
011.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-011.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page11
012.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-012.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page12
013.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-013.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page13
014.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-014.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page14
015.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-015.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page15
016.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-016.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page16
017.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-017.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page17
018.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-018.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page18
019.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-019.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page19
020.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-020.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page20
021.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-021.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page21
022.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-022.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page22
023.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-023.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page23
024.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-024.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page24
025.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-025.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page25
026.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-026.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page26
027.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-027.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page27
028.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-028.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page28
029.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-029.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page29
030.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-030.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page30
031.txt	completed	https://os3-373-19774.vs.sakura.ne.jp/iiif/2/tempo%2F2549985-031.tif/full/full/0/default.jpg	https://honkoku.org/manifests/tempo/2549985/page31
