filename	status	image	canvasId
001.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000111/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/111
002.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000112/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/112
003.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000113/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/113
004.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000114/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/114
005.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000115/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/115
006.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000116/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/116
007.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000117/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/117
008.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000118/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/118
009.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000119/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/119
010.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000120/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/120
011.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000121/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/121
012.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000122/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/122
013.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000123/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/123
014.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000124/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/124
015.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000125/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/125
016.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000126/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/126
017.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000127/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/127
018.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000128/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/128
019.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000129/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/129
020.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000130/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/130
021.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000131/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/131
022.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000132/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/132
023.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000133/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/133
024.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000134/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/134
025.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000135/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/135
026.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000136/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/136
027.txt	default	https://www.dl.ndl.go.jp/api/iiif/952700/R0000137/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952700/canvas/137
