filename	status	image	canvasId
001.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000007/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/7
002.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000008/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/8
003.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000009/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/9
004.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000010/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/10
005.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000011/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/11
006.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000012/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/12
007.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000013/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/13
008.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000014/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/14
009.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000015/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/15
010.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000016/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/16
011.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000017/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/17
012.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000018/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/18
013.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000019/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/19
014.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000020/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/20
015.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000021/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/21
016.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000022/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/22
017.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000023/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/23
018.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000024/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/24
019.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000025/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/25
020.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000026/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/26
021.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000027/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/27
022.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000028/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/28
023.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000029/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/29
024.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000030/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/30
025.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000031/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/31
026.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000032/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/32
027.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000033/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/33
028.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000034/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/34
029.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000035/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/35
030.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000036/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/36
031.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000037/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/37
032.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000038/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/38
033.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000039/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/39
034.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000040/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/40
035.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000041/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/41
036.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000042/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/42
037.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000043/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/43
038.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000044/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/44
039.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000045/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/45
040.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000046/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/46
041.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000047/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/47
042.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000048/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/48
043.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000049/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/49
044.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000050/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/50
045.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000051/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/51
046.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000052/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/52
047.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000053/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/53
048.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000054/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/54
049.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000055/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/55
050.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000056/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/56
051.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000057/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/57
052.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000058/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/58
053.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000059/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/59
054.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000060/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/60
055.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000061/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/61
056.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000062/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/62
057.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000063/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/63
058.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000064/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/64
059.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000065/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/65
060.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000066/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/66
061.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000067/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/67
062.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000068/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/68
063.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000069/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/69
064.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000070/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/70
065.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000071/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/71
066.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000072/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/72
067.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000073/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/73
068.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000074/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/74
069.txt	default	https://www.dl.ndl.go.jp/api/iiif/952788/R0000075/full/full/0/default.jpg	https://www.dl.ndl.go.jp/api/iiif/952788/canvas/75
