filename	status	image
001.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132817.tiff/info.json
002.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132818.tiff/info.json
003.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132819.tiff/info.json
004.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132820.tiff/info.json
005.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132821.tiff/info.json
006.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132822.tiff/info.json
007.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132823.tiff/info.json
008.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132824.tiff/info.json
009.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132825.tiff/info.json
010.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132826.tiff/info.json
011.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132827.tiff/info.json
012.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132828.tiff/info.json
013.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132829.tiff/info.json
014.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132830.tiff/info.json
015.txt	initiated	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132831.tiff/info.json
016.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132832.tiff/info.json
017.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132833.tiff/info.json
018.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132834.tiff/info.json
019.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132835.tiff/info.json
020.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132836.tiff/info.json
021.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132837.tiff/info.json
022.txt	initiated	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132838.tiff/info.json
023.txt	initiated	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132839.tiff/info.json
024.txt	initiated	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132840.tiff/info.json
025.txt	initiated	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132841.tiff/info.json
026.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132842.tiff/info.json
027.txt	default	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132843.tiff/info.json
028.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132844.tiff/info.json
029.txt	completed	https://catalog.lib.kyushu-u.ac.jp/image/iiif/1/820/7162309/1132845.tiff/info.json
