filename	status	image
001.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0001.tif/full/full/0/default.jpg
002.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0002.tif/full/full/0/default.jpg
003.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0003.tif/full/full/0/default.jpg
004.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0004.tif/full/full/0/default.jpg
005.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0005.tif/full/full/0/default.jpg
006.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0006.tif/full/full/0/default.jpg
007.txt	initiated	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0007.tif/full/full/0/default.jpg
008.txt	initiated	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0008.tif/full/full/0/default.jpg
009.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0009.tif/full/full/0/default.jpg
010.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0010.tif/full/full/0/default.jpg
011.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0011.tif/full/full/0/default.jpg
012.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0012.tif/full/full/0/default.jpg
013.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0013.tif/full/full/0/default.jpg
014.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0014.tif/full/full/0/default.jpg
015.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0015.tif/full/full/0/default.jpg
016.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0016.tif/full/full/0/default.jpg
017.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0017.tif/full/full/0/default.jpg
018.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170161%2F170161-0018.tif/full/full/0/default.jpg
