filename	status	image
001.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674000/iiif/M2016081213220847186_0001.jp2/full/full/0/default.jpg
002.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674100/iiif/M2016081213220847186_0002.jp2/full/full/0/default.jpg
003.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674200/iiif/M2016081213220847186_0003.jp2/full/full/0/default.jpg
004.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674300/iiif/M2016081213220847186_0004.jp2/full/full/0/default.jpg
005.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674400/iiif/M2016081213220847186_0005.jp2/full/full/0/default.jpg
006.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674500/iiif/M2016081213220847186_0006.jp2/full/full/0/default.jpg
007.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674600/iiif/M2016081213220847186_0007.jp2/full/full/0/default.jpg
008.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674700/iiif/M2016081213220847186_0008.jp2/full/full/0/default.jpg
009.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674800/iiif/M2016081213220847186_0009.jp2/full/full/0/default.jpg
010.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683674900/iiif/M2016081213220847186_0010.jp2/full/full/0/default.jpg
011.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675000/iiif/M2016081213220847186_0011.jp2/full/full/0/default.jpg
012.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675100/iiif/M2016081213220847186_0012.jp2/full/full/0/default.jpg
013.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675200/iiif/M2016081213220847186_0013.jp2/full/full/0/default.jpg
014.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675300/iiif/M2016081213220847186_0014.jp2/full/full/0/default.jpg
015.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675400/iiif/M2016081213220847186_0015.jp2/full/full/0/default.jpg
016.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675500/iiif/M2016081213220847186_0016.jp2/full/full/0/default.jpg
017.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675600/iiif/M2016081213220847186_0017.jp2/full/full/0/default.jpg
018.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675700/iiif/M2016081213220847186_0018.jp2/full/full/0/default.jpg
019.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675800/iiif/M2016081213220847186_0019.jp2/full/full/0/default.jpg
020.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683675900/iiif/M2016081213220847186_0020.jp2/full/full/0/default.jpg
021.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683676000/iiif/M2016081213220847186_0021.jp2/full/full/0/default.jpg
022.txt	default	https://www.digital.archives.go.jp/api/content/item/da12/C101683676100/iiif/M2016081213220847186_0022.jp2/full/full/0/default.jpg
