Sandals/zori (zoori)　　　　　　　　　　　　　　　　Monokushiya
Bailer for removing bilge water from a boat　　　　Bekep・Watsukake
Household goods/furnishings (juumotsu)　　　　　　　Iyurube
Rare/treasured household goods　　　　　　　　　　　Shishiyakutomikamui
Reward/prize (hoobi)　　　　　　　　　　　　　　　　Keiratsuppu・Iramie・Odeki
Pillow (makura)　　　　　　　　　　　　　　　　　　Chienuibe・Chienenu
Armguard/gauntlet of armor (kote)　　　　　　　　　Tantsunbe [with handakuten]
Armor/body armor (yoroi)　　　　　　　　　　　　　　Hayokupe
Condolence/funeral offering (kouden)　　　　　　　　Utsube shino
Loom/weaving frame (hata)　　　　　　　　　　　　　Kaworunbe
Reed/heddle beater of a loom (osa)　　　　　　　　　Osa
Shuttle of a loom (hi)　　　　　　　　　　　　　　　Aunkani
Board struck like a shuttle (weaving beater board)　Kutsupeete
Lease sticks/heddle sticks (ayatake)　　　　　　　　Pushi
Front placement/preface? (maeoki?)　　　　　　　　　Ikutsuni [with handakuten]
