filename	status	image
001.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0001.tif/full/full/0/default.jpg
002.txt	initiated	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0002.tif/full/full/0/default.jpg
003.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0003.tif/full/full/0/default.jpg
004.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0004.tif/full/full/0/default.jpg
005.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0005.tif/full/full/0/default.jpg
006.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0006.tif/full/full/0/default.jpg
007.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0007.tif/full/full/0/default.jpg
008.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0008.tif/full/full/0/default.jpg
009.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0009.tif/full/full/0/default.jpg
010.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0010.tif/full/full/0/default.jpg
011.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0011.tif/full/full/0/default.jpg
012.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0012.tif/full/full/0/default.jpg
013.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0013.tif/full/full/0/default.jpg
014.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0014.tif/full/full/0/default.jpg
015.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0015.tif/full/full/0/default.jpg
016.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0016.tif/full/full/0/default.jpg
017.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0017.tif/full/full/0/default.jpg
018.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0018.tif/full/full/0/default.jpg
019.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0019.tif/full/full/0/default.jpg
020.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0020.tif/full/full/0/default.jpg
021.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0021.tif/full/full/0/default.jpg
022.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0022.tif/full/full/0/default.jpg
023.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0023.tif/full/full/0/default.jpg
024.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0024.tif/full/full/0/default.jpg
025.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0025.tif/full/full/0/default.jpg
026.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0026.tif/full/full/0/default.jpg
027.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0027.tif/full/full/0/default.jpg
028.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0028.tif/full/full/0/default.jpg
029.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0029.tif/full/full/0/default.jpg
030.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0030.tif/full/full/0/default.jpg
031.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0031.tif/full/full/0/default.jpg
032.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0032.tif/full/full/0/default.jpg
033.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0033.tif/full/full/0/default.jpg
034.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0034.tif/full/full/0/default.jpg
035.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0035.tif/full/full/0/default.jpg
036.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0036.tif/full/full/0/default.jpg
037.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0037.tif/full/full/0/default.jpg
038.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0038.tif/full/full/0/default.jpg
039.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0039.tif/full/full/0/default.jpg
040.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0040.tif/full/full/0/default.jpg
041.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0041.tif/full/full/0/default.jpg
042.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0042.tif/full/full/0/default.jpg
043.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0043.tif/full/full/0/default.jpg
044.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0044.tif/full/full/0/default.jpg
045.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0045.tif/full/full/0/default.jpg
046.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0046.tif/full/full/0/default.jpg
047.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0047.tif/full/full/0/default.jpg
048.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0048.tif/full/full/0/default.jpg
049.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0049.tif/full/full/0/default.jpg
050.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0050.tif/full/full/0/default.jpg
051.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0051.tif/full/full/0/default.jpg
052.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0052.tif/full/full/0/default.jpg
053.txt	initiated	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0053.tif/full/full/0/default.jpg
054.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0054.tif/full/full/0/default.jpg
055.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0055.tif/full/full/0/default.jpg
056.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0056.tif/full/full/0/default.jpg
057.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0057.tif/full/full/0/default.jpg
058.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0058.tif/full/full/0/default.jpg
059.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0059.tif/full/full/0/default.jpg
060.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0060.tif/full/full/0/default.jpg
061.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0061.tif/full/full/0/default.jpg
062.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0062.tif/full/full/0/default.jpg
063.txt	completed	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0063.tif/full/full/0/default.jpg
