filename	status	image
001.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0064.tif/full/full/0/default.jpg
002.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0065.tif/full/full/0/default.jpg
003.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0066.tif/full/full/0/default.jpg
004.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0067.tif/full/full/0/default.jpg
005.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0068.tif/full/full/0/default.jpg
006.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0069.tif/full/full/0/default.jpg
007.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0070.tif/full/full/0/default.jpg
008.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0071.tif/full/full/0/default.jpg
009.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0072.tif/full/full/0/default.jpg
010.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0073.tif/full/full/0/default.jpg
011.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0074.tif/full/full/0/default.jpg
012.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0075.tif/full/full/0/default.jpg
013.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0076.tif/full/full/0/default.jpg
014.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0077.tif/full/full/0/default.jpg
015.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0078.tif/full/full/0/default.jpg
016.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0079.tif/full/full/0/default.jpg
017.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0080.tif/full/full/0/default.jpg
018.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0081.tif/full/full/0/default.jpg
019.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0082.tif/full/full/0/default.jpg
020.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0083.tif/full/full/0/default.jpg
021.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0084.tif/full/full/0/default.jpg
022.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0085.tif/full/full/0/default.jpg
023.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0086.tif/full/full/0/default.jpg
024.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0087.tif/full/full/0/default.jpg
025.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0088.tif/full/full/0/default.jpg
026.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0089.tif/full/full/0/default.jpg
027.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0090.tif/full/full/0/default.jpg
028.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0091.tif/full/full/0/default.jpg
029.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0092.tif/full/full/0/default.jpg
030.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0093.tif/full/full/0/default.jpg
031.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0094.tif/full/full/0/default.jpg
032.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0095.tif/full/full/0/default.jpg
033.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0096.tif/full/full/0/default.jpg
034.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0097.tif/full/full/0/default.jpg
035.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0098.tif/full/full/0/default.jpg
036.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0099.tif/full/full/0/default.jpg
037.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0100.tif/full/full/0/default.jpg
038.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0101.tif/full/full/0/default.jpg
039.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0102.tif/full/full/0/default.jpg
040.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0103.tif/full/full/0/default.jpg
041.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0104.tif/full/full/0/default.jpg
042.txt	default	https://da2.library.ryukoku.ac.jp/image/?IIIF=/17%2F170155%2F170155-0105.tif/full/full/0/default.jpg
