filename	status	image
001.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0000.tif/full/full/0/default.jpg
002.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0001.tif/full/full/0/default.jpg
003.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0002.tif/full/full/0/default.jpg
004.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0003.tif/full/full/0/default.jpg
005.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0004.tif/full/full/0/default.jpg
006.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0005.tif/full/full/0/default.jpg
007.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0006.tif/full/full/0/default.jpg
008.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0007.tif/full/full/0/default.jpg
009.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0008.tif/full/full/0/default.jpg
010.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0009.tif/full/full/0/default.jpg
011.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0010.tif/full/full/0/default.jpg
012.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0011.tif/full/full/0/default.jpg
013.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0012.tif/full/full/0/default.jpg
014.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0013.tif/full/full/0/default.jpg
015.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0014.tif/full/full/0/default.jpg
016.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0015.tif/full/full/0/default.jpg
017.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0016.tif/full/full/0/default.jpg
018.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0017.tif/full/full/0/default.jpg
019.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0018.tif/full/full/0/default.jpg
020.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0019.tif/full/full/0/default.jpg
021.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0020.tif/full/full/0/default.jpg
022.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0021.tif/full/full/0/default.jpg
023.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0022.tif/full/full/0/default.jpg
024.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0023.tif/full/full/0/default.jpg
025.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0024.tif/full/full/0/default.jpg
026.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0025.tif/full/full/0/default.jpg
027.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0026.tif/full/full/0/default.jpg
028.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0027.tif/full/full/0/default.jpg
029.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0028.tif/full/full/0/default.jpg
030.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0029.tif/full/full/0/default.jpg
031.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0030.tif/full/full/0/default.jpg
032.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0031.tif/full/full/0/default.jpg
033.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0032.tif/full/full/0/default.jpg
034.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0033.tif/full/full/0/default.jpg
035.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0034.tif/full/full/0/default.jpg
036.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0035.tif/full/full/0/default.jpg
037.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0036.tif/full/full/0/default.jpg
038.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0037.tif/full/full/0/default.jpg
039.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100041202/v4/0080/0080-001703/0080-001703-0038.tif/full/full/0/default.jpg
