filename	status	image
001.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0000.tif/full/full/0/default.jpg
002.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0001.tif/full/full/0/default.jpg
003.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0002.tif/full/full/0/default.jpg
004.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0003.tif/full/full/0/default.jpg
005.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0004.tif/full/full/0/default.jpg
006.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0005.tif/full/full/0/default.jpg
007.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0006.tif/full/full/0/default.jpg
008.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0007.tif/full/full/0/default.jpg
009.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0008.tif/full/full/0/default.jpg
010.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0009.tif/full/full/0/default.jpg
011.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0010.tif/full/full/0/default.jpg
012.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0011.tif/full/full/0/default.jpg
013.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0012.tif/full/full/0/default.jpg
014.txt	default	https://kokusho.nijl.ac.jp/api/iiif/100054084/v4/0025/0025-0066020/0025-0066020-0013.tif/full/full/0/default.jpg
