filename	status	image
001.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00000.tif/full/full/0/default.jpg
002.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00001.tif/full/full/0/default.jpg
003.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00002.tif/full/full/0/default.jpg
004.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00003.tif/full/full/0/default.jpg
005.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00004.tif/full/full/0/default.jpg
006.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00005.tif/full/full/0/default.jpg
007.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00006.tif/full/full/0/default.jpg
008.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00007.tif/full/full/0/default.jpg
009.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00008.tif/full/full/0/default.jpg
010.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00009.tif/full/full/0/default.jpg
011.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00010.tif/full/full/0/default.jpg
012.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00011.tif/full/full/0/default.jpg
013.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00012.tif/full/full/0/default.jpg
014.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00013.tif/full/full/0/default.jpg
015.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00014.tif/full/full/0/default.jpg
016.txt	completed	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00015.tif/full/full/0/default.jpg
017.txt	initiated	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00016.tif/full/full/0/default.jpg
018.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00017.tif/full/full/0/default.jpg
019.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00018.tif/full/full/0/default.jpg
020.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00019.tif/full/full/0/default.jpg
021.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00020.tif/full/full/0/default.jpg
022.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00021.tif/full/full/0/default.jpg
023.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00022.tif/full/full/0/default.jpg
024.txt	default	https://kokusho.nijl.ac.jp/api/iiif/300087171/v4/EDOM/EDOM-14169/EDOM-14169-00023.tif/full/full/0/default.jpg
