filename	status	image
001.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00001.tif/full/full/0/default.jpg
002.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00002.tif/full/full/0/default.jpg
003.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00003.tif/full/full/0/default.jpg
004.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00004.tif/full/full/0/default.jpg
005.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00005.tif/full/full/0/default.jpg
006.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00006.tif/full/full/0/default.jpg
007.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00007.tif/full/full/0/default.jpg
008.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00008.tif/full/full/0/default.jpg
009.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00009.tif/full/full/0/default.jpg
010.txt	completed	https://kotenseki.nijl.ac.jp/api/iiif/100249507/v4/AJNM/AJNM-00108/AJNM-00108-00010.tif/full/full/0/default.jpg
