filename	status	image	canvasId
001.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00001.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/1
002.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00002.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/2
003.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00003.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/3
004.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00004.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/4
005.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00005.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/5
006.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00006.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/6
007.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00007.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/7
008.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00008.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/8
009.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00009.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/9
010.txt	default	https://kotenseki.nijl.ac.jp/api/iiif/100309726/v4/KOBE/KOBE-10163/KOBE-10163-00010.tif/full/full/0/default.jpg	https://kotenseki.nijl.ac.jp/biblio/100309726/canvas/10
