filename	status	image	canvasId
001.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033147/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p1
002.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033148/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p2
003.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033149/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p3
004.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033150/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p4
005.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033151/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p5
006.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033152/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p6
007.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033153/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p7
008.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033154/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p8
009.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033155/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p9
010.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033156/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p10
011.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033157/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p11
012.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033158/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p12
013.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033159/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p13
014.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033160/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p14
015.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033161/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p15
016.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033162/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p16
017.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033163/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p17
018.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033164/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p18
019.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033165/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p19
020.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033166/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p20
021.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033167/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p21
022.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033168/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p22
023.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033169/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p23
024.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033170/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p24
025.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033171/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p25
026.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033172/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p26
027.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033173/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p27
028.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033174/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p28
029.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033175/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p29
030.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033176/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p30
031.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033177/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p31
032.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033178/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p32
033.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033179/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p33
034.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033180/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p34
035.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033181/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p35
036.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033182/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p36
037.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033183/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p37
038.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033184/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p38
039.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033185/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p39
040.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033186/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p40
041.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033187/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p41
042.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033188/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p42
043.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033189/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p43
044.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033190/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p44
045.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033191/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p45
046.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033192/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p46
047.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033193/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p47
048.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033194/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p48
049.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033195/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p49
050.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033196/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p50
051.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033197/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p51
052.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033198/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p52
053.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033199/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p53
054.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033200/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p54
055.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033201/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p55
056.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033202/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p56
057.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033203/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p57
058.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033204/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p58
059.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033205/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p59
060.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033206/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p60
061.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033207/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p61
062.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033208/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p62
063.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033209/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p63
064.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033210/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p64
065.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033211/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p65
066.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033212/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p66
067.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033213/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p67
068.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033214/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p68
069.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033215/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p69
070.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033216/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p70
071.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033217/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p71
072.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033218/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p72
073.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033219/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p73
074.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033220/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p74
075.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033221/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p75
076.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033222/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p76
077.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033223/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p77
078.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033224/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p78
079.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033225/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p79
080.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033226/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p80
081.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033227/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p81
082.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033228/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1033146/canvas/p82
