filename	status	image
001.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820429/full/full/0/default.jpg
002.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820430/full/full/0/default.jpg
003.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820431/full/full/0/default.jpg
004.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820432/full/full/0/default.jpg
005.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820433/full/full/0/default.jpg
006.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820434/full/full/0/default.jpg
007.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820435/full/full/0/default.jpg
008.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820436/full/full/0/default.jpg
009.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820437/full/full/0/default.jpg
010.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820438/full/full/0/default.jpg
011.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820439/full/full/0/default.jpg
012.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820440/full/full/0/default.jpg
013.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820441/full/full/0/default.jpg
014.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820442/full/full/0/default.jpg
015.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820443/full/full/0/default.jpg
016.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820444/full/full/0/default.jpg
017.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820445/full/full/0/default.jpg
018.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820446/full/full/0/default.jpg
019.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820447/full/full/0/default.jpg
020.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820448/full/full/0/default.jpg
021.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820449/full/full/0/default.jpg
022.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820450/full/full/0/default.jpg
023.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820451/full/full/0/default.jpg
024.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820452/full/full/0/default.jpg
025.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820453/full/full/0/default.jpg
026.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820454/full/full/0/default.jpg
027.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820455/full/full/0/default.jpg
028.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820456/full/full/0/default.jpg
029.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820457/full/full/0/default.jpg
030.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820458/full/full/0/default.jpg
031.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820459/full/full/0/default.jpg
032.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820460/full/full/0/default.jpg
033.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820461/full/full/0/default.jpg
034.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820462/full/full/0/default.jpg
035.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820463/full/full/0/default.jpg
036.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820464/full/full/0/default.jpg
037.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820465/full/full/0/default.jpg
038.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820466/full/full/0/default.jpg
039.txt	completed	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820467/full/full/0/default.jpg
040.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820468/full/full/0/default.jpg
041.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820469/full/full/0/default.jpg
042.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820470/full/full/0/default.jpg
043.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820471/full/full/0/default.jpg
044.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820472/full/full/0/default.jpg
045.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820473/full/full/0/default.jpg
046.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820474/full/full/0/default.jpg
047.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820475/full/full/0/default.jpg
048.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820476/full/full/0/default.jpg
049.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820477/full/full/0/default.jpg
050.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820478/full/full/0/default.jpg
051.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820479/full/full/0/default.jpg
052.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820480/full/full/0/default.jpg
053.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820481/full/full/0/default.jpg
054.txt	initiated	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820482/full/full/0/default.jpg
055.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/2820483/full/full/0/default.jpg
