filename	status	image	canvasId
001.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035790/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p1
002.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035791/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p2
003.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035792/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p3
004.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035793/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p4
005.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035794/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p5
006.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035795/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p6
007.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035796/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p7
008.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035797/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p8
009.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035798/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p9
010.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035799/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p10
011.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035800/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p11
012.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035801/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p12
013.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035802/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p13
014.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035803/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p14
015.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035804/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p15
016.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035805/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p16
017.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035806/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p17
018.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035807/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p18
019.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035808/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p19
020.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035809/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p20
021.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035810/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p21
022.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035811/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p22
023.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035812/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p23
024.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035813/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p24
025.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035814/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p25
026.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035815/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p26
027.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035816/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p27
028.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035817/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p28
029.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035818/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p29
030.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035819/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p30
031.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035820/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p31
032.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035821/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p32
033.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035822/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p33
034.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035823/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p34
035.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035824/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p35
036.txt	default	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035825/full/full/0/default.jpg	https://www.digital-archives.pref.fukui.lg.jp/iiif/2/1035789/canvas/p36
